event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.930,,930
SHOT_DETECTED,2,1.600,0.670,1600
SHOT_DETECTED,3,2.170,0.570,2170
SHOT_DETECTED,4,2.360,0.190,2360
SHOT_DETECTED,5,2.770,0.410,2770
SHOT_DETECTED,6,3.430,0.660,3430
SHOT_DETECTED,7,4.040,0.610,4040
SHOT_DETECTED,8,4.660,0.620,4660
SHOT_DETECTED,9,4.850,0.190,4850
SHOT_DETECTED,10,5.170,0.320,5170
SHOT_DETECTED,11,5.600,0.430,5600
SHOT_DETECTED,12,5.870,0.270,5870
SHOT_DETECTED,13,6.580,0.710,6580
SHOT_DETECTED,14,6.990,0.410,6990
SHOT_DETECTED,15,7.450,0.460,7450
SHOT_DETECTED,16,7.580,0.130,7580
SHOT_DETECTED,17,7.900,0.320,7900
