event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.460,,460
SHOT_DETECTED,2,0.880,,880
SHOT_DETECTED,3,1.280,,1280
SHOT_DETECTED,4,1.700,,1700
SHOT_DETECTED,5,2.140,,2140
SHOT_DETECTED,6,2.560,,2560
SHOT_DETECTED,7,2.980,,2980
SHOT_DETECTED,8,3.850,,3850
SHOT_DETECTED,9,4.210,,4210
SHOT_DETECTED,10,4.640,,4640
SHOT_DETECTED,11,4.990,,4990
SHOT_DETECTED,12,6.860,,6860
SHOT_DETECTED,13,168.140,,168140
SHOT_DETECTED,14,168.480,,168480
SHOT_DETECTED,15,168.670,,168670
SHOT_DETECTED,16,168.860,,168860
SHOT_DETECTED,17,169.030,,169030
SHOT_DETECTED,18,169.200,,169200
SHOT_DETECTED,19,169.360,,169360
SHOT_DETECTED,20,169.550,,169550
SHOT_DETECTED,21,169.730,,169730
SHOT_DETECTED,22,169.900,,169900
SHOT_DETECTED,23,172.190,,172190
SHOT_DETECTED,24,172.400,,172400
SHOT_DETECTED,25,172.760,,172760
SHOT_DETECTED,26,173.560,,173560
SHOT_DETECTED,27,174.270,,174270
SHOT_DETECTED,28,174.830,,174830
SHOT_DETECTED,29,175.760,,175760
SHOT_DETECTED,30,176.650,,176650
SESSION_STOPPED,,,,
